City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,Coquimbo,-29.9533,-71.3436,55.13,87,100,2.3,CL,2022-05-12 14:32:35
89,Mikhaylovka,50.06,43.2379,60.3,69,100,9.75,RU,2022-05-12 14:35:16
90,Amapa,1.0,-52.0,78.91,95,50,4.9,BR,2022-05-12 14:35:17
91,Paramonga,-10.6667,-77.8333,66.56,82,78,6.64,PE,2022-05-12 14:35:17
92,Clyde River,70.4692,-68.5914,21.43,68,0,12.66,CA,2022-05-12 14:35:18
93,Kavaratti,10.5669,72.642,84.65,68,100,14.56,IN,2022-05-12 14:40:24
94,Trairi,-3.2778,-39.2689,85.21,70,47,8.46,BR,2022-05-12 14:40:24
95,Vadso,70.0744,29.7487,45.48,70,75,9.22,NO,2022-05-12 14:40:25
96,Grand Gaube,-20.0064,57.6608,75.6,83,8,1.99,MU,2022-05-12 14:40:25
97,Nuuk,64.1835,-51.7216,32.61,93,100,8.05,GL,2022-05-12 14:40:26
98,Ibicarai,-14.865,-39.5875,88.86,45,66,2.24,BR,2022-05-12 14:40:26
99,Arrecife,28.963,-13.5477,73.38,78,20,8.05,ES,2022-05-12 14:40:27
100,Harper,4.375,-7.7169,78.3,91,100,10.27,LR,2022-05-12 14:40:27
101,Bull Savanna,17.8868,-77.5902,81.36,64,7,11.54,JM,2022-05-12 14:40:28
102,Mormugao,15.4,73.8,83.66,82,100,15.68,IN,2022-05-12 14:40:28
103,Thunder Bay,48.4001,-89.3168,52.29,93,100,5.75,CA,2022-05-12 14:40:29
104,Geraldton,-28.7667,114.6,55.81,88,100,8.05,AU,2022-05-12 14:40:27
105,Ancud,-41.8697,-73.8203,52.66,84,80,8.7,CL,2022-05-12 14:40:30
106,Krasnoselkup,65.7,82.4667,38.66,99,100,5.26,RU,2022-05-12 14:40:30
107,Mikkeli,61.6886,27.2723,51.15,87,75,13.8,FI,2022-05-12 14:40:31
108,Kantunilkin,21.0917,-87.45,84.47,41,0,4.63,MX,2022-05-12 14:40:31
109,Port-Gentil,-0.7193,8.7815,84.16,79,40,6.91,GA,2022-05-12 14:40:32
110,Saquena,-4.6667,-73.5167,86.09,65,56,2.77,PE,2022-05-12 14:40:32
111,Kudahuvadhoo,2.6708,72.8944,83.17,79,42,16.55,MV,2022-05-12 14:40:33
112,Canals,38.9625,-0.5844,75.2,47,99,5.01,ES,2022-05-12 14:40:34
113,Henderson,36.0397,-114.9819,63.18,27,0,10.36,US,2022-05-12 14:40:23
114,Baijiantan,45.6333,85.1833,69.4,43,100,9.01,CN,2022-05-12 14:40:35
115,Bereda,43.2686,-7.5406,65.93,60,100,7.31,ES,2022-05-12 14:40:36
116,Qasigiannguit,68.8193,-51.1922,25.05,72,59,4.0,GL,2022-05-12 14:40:36
117,Yar-Sale,66.8333,70.8333,35.55,100,100,4.99,RU,2022-05-12 14:40:37
118,Kalmunai,7.4167,81.8167,83.64,70,83,6.2,LK,2022-05-12 14:40:37
119,Cavalcante,-13.7975,-47.4583,86.22,28,8,2.15,BR,2022-05-12 14:40:38
120,Le Port,-20.9373,55.2919,77.0,76,19,5.17,RE,2022-05-12 14:40:38
121,Ostersund,63.1792,14.6357,50.45,57,40,17.27,SE,2022-05-12 14:40:39
122,Coihaique,-45.5752,-72.0662,40.95,93,100,5.75,CL,2022-05-12 14:40:40
123,Qostanay,53.1667,63.5833,64.69,32,0,11.18,KZ,2022-05-12 14:40:40
124,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,80.4,89,75,2.3,BR,2022-05-12 14:40:41
125,Miquelon,47.0975,-56.3814,53.6,99,97,12.71,PM,2022-05-12 14:40:41
126,Pauini,-7.7136,-66.9764,85.87,62,100,4.34,BR,2022-05-12 14:40:42
127,Grand-Santi,4.25,-54.3833,83.91,68,92,4.94,GF,2022-05-12 14:40:42
128,Lebu,-37.6167,-73.65,54.27,92,100,2.26,CL,2022-05-12 14:40:43
129,Port Hawkesbury,45.6169,-61.3485,72.91,70,0,16.11,CA,2022-05-12 14:40:44
130,La Rinconada,37.4873,-5.9826,87.98,27,0,2.3,ES,2022-05-12 14:40:44
131,Belyy Yar,53.6039,91.3903,58.86,23,0,6.71,RU,2022-05-12 14:40:45
