City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Padang,ID,-0.9492,100.3543,84.25,83,6,3.47,clear sky
168,Hornepayne,CA,49.2138,-84.7705,63.75,75,100,5.28,overcast clouds
169,Vigrestad,NO,58.5667,5.7,50.95,79,47,12.73,scattered clouds
170,Agadir,MA,30.4202,-9.5982,81.05,46,61,11.68,broken clouds
171,Diamantino,BR,-14.4086,-56.4461,88.02,40,1,4.9,clear sky
172,Bengkulu,ID,-3.8004,102.2655,80.04,88,93,5.03,overcast clouds
173,Salon,IN,26.0333,81.45,102.97,8,0,7.56,clear sky
174,Ilek,RU,51.5271,53.3831,60.8,63,97,8.66,overcast clouds
175,Caluquembe,AO,-13.7833,14.6833,78.73,29,22,1.68,few clouds
176,Saint George,US,37.1041,-113.5841,55.99,15,0,0.0,clear sky
177,Avesta,SE,60.1455,16.1679,61.12,42,70,7.16,broken clouds
178,Paranagua,BR,-25.52,-48.5092,74.01,62,98,2.73,overcast clouds
179,Inhambane,MZ,-23.865,35.3833,75.29,68,0,7.67,clear sky
180,Nampula,MZ,-15.1165,39.2666,80.55,47,40,6.91,scattered clouds
181,Puerto Ayacucho,VE,5.6639,-67.6236,84.65,71,89,1.45,moderate rain
182,Camabatela,AO,-8.1881,15.375,74.05,66,100,2.95,overcast clouds
183,Torrijos,ES,39.9819,-4.2835,82.08,19,44,8.01,scattered clouds
184,Santa Ines,BR,-3.6667,-45.38,85.51,71,61,6.33,broken clouds
185,Asti,IT,44.8979,8.2068,83.57,56,10,5.21,clear sky
186,Longyearbyen,SJ,78.2186,15.6401,28.24,69,40,6.91,scattered clouds
187,Atri,IT,42.5778,13.9848,77.07,48,100,5.84,overcast clouds
188,Sakakah,SA,29.9697,40.2064,96.37,10,25,8.7,scattered clouds
189,Sabalgarh,IN,26.25,77.4,105.13,7,16,7.09,few clouds
190,Mindelo,CV,16.8901,-24.9804,85.55,42,0,32.21,clear sky
191,Sistranda,NO,63.7256,8.834,44.56,79,100,30.65,overcast clouds
192,Grand Gaube,MU,-20.0064,57.6608,77.4,66,8,4.0,clear sky
193,Ribeira Grande,PT,38.5167,-28.7,61.2,94,75,33.38,drizzle rain
194,Ploemeur,FR,47.7333,-3.4333,73.85,57,75,12.66,broken clouds
195,Casablanca,MA,33.5928,-7.6192,82.62,68,40,9.22,scattered clouds
196,Concepcion Del Uruguay,AR,-32.4825,-58.2372,62.26,80,0,1.99,clear sky
197,Harper,LR,4.375,-7.7169,82.38,79,88,9.93,light rain
198,Ugoofaaru,MV,5.6667,73.0,80.73,82,100,20.45,light rain
199,Kem,RU,64.9555,34.5793,42.01,93,100,4.88,overcast clouds
200,Humaita,BR,-7.5061,-63.0208,83.93,76,69,3.36,broken clouds
201,Vila Velha,BR,-20.3297,-40.2925,80.55,65,40,11.5,scattered clouds
202,Bilma,NE,18.6853,12.9164,98.38,9,0,17.56,clear sky
203,Coleraine,GB,55.1333,-6.6667,66.11,71,60,3.53,broken clouds
204,Pokhara,NP,28.2333,83.9833,76.35,60,89,5.75,overcast clouds
205,Umm Lajj,SA,25.0213,37.2685,90.95,41,0,3.47,clear sky
206,Amapa,BR,1.0,-52.0,81.14,82,100,2.75,overcast clouds
207,Takoradi,GH,4.8845,-1.7554,85.14,69,76,10.58,broken clouds
208,Havelock,US,34.8791,-76.9013,69.75,95,75,3.44,broken clouds
209,Nouadhibou,MR,20.931,-17.0347,72.21,64,100,21.83,overcast clouds
210,Muravlenko,RU,63.7898,74.523,61.99,52,43,9.01,scattered clouds
211,Monastyrshchina,RU,54.3496,31.838,54.52,67,99,11.12,light rain
212,Aden,YE,12.7794,45.0367,88.7,63,77,6.26,broken clouds
213,Sur,OM,22.5667,59.5289,86.76,64,0,10.27,clear sky
214,Kursk,RU,51.7303,36.1939,66.4,39,0,15.66,clear sky
215,Dwarka,IN,22.2394,68.9678,84.7,81,0,14.94,clear sky
216,Zdvinsk,RU,54.7021,78.661,64.11,61,13,10.56,few clouds
217,Cockburn Town,TC,21.4612,-71.1419,79.36,86,100,22.46,overcast clouds
218,Tobane,BW,-21.95,27.9,83.62,17,4,9.33,clear sky
219,Cotonou,BJ,6.3654,2.4183,87.78,70,40,9.22,scattered clouds
220,Mirandopolis,BR,-21.1336,-51.1017,81.52,39,5,8.88,clear sky
221,Wagar,SD,16.1525,36.2032,109.56,8,0,8.88,clear sky
222,Pocone,BR,-16.2567,-56.6228,90.37,37,90,5.37,overcast clouds
223,Saldanha,ZA,-33.0117,17.9442,69.85,70,0,15.01,clear sky
224,Jalu,LY,29.0331,21.5482,82.24,21,0,13.89,clear sky
225,Derzhavinsk,KZ,51.1,66.3167,60.39,69,98,17.85,overcast clouds
226,Senanga,ZM,-16.1167,23.2667,85.53,23,10,6.96,clear sky
227,Bell Ville,AR,-32.6259,-62.6887,59.81,66,83,7.85,broken clouds
228,Colombo,LK,6.9319,79.8478,80.55,92,100,23.24,light rain
229,Bara,NG,10.3744,10.7288,99.46,24,100,9.57,overcast clouds
230,Longonjo,AO,-12.9067,15.2533,82.27,31,30,1.92,scattered clouds
231,Tarnogskiy Gorodok,RU,60.4997,43.5761,44.08,95,100,4.92,overcast clouds
232,Kambove,CD,-10.8764,26.5969,74.23,43,9,6.2,clear sky
233,Nioro,GM,13.35,-15.75,104.04,18,71,2.77,broken clouds
234,Lagoa,PT,39.05,-27.9833,61.34,78,100,22.59,overcast clouds
235,Torbat-E Jam,IR,35.244,60.6225,64.72,36,76,20.27,broken clouds
236,Klaksvik,FO,62.2266,-6.589,49.12,86,100,6.8,overcast clouds
237,Maragogi,BR,-9.0122,-35.2225,83.01,74,100,10.38,overcast clouds
238,Sisimiut,GL,66.9395,-53.6735,25.32,57,76,7.54,broken clouds
239,Umm Kaddadah,SD,13.6017,26.6876,104.5,13,11,3.11,few clouds
240,Goderich,CA,43.7501,-81.7165,71.92,68,6,8.05,clear sky
241,Roccastrada,IT,43.0099,11.1665,79.09,27,0,8.95,clear sky
242,Muros,ES,42.7762,-9.0603,84.69,46,72,6.17,broken clouds
243,Matara,LK,5.9485,80.5353,77.79,94,100,15.79,overcast clouds
244,Mogadishu,SO,2.0371,45.3438,87.67,70,20,17.27,few clouds
245,Troitsko-Pechorsk,RU,62.7084,56.1964,48.52,91,100,2.46,moderate rain
246,Tanga,TZ,-5.0667,39.1,82.54,68,72,11.79,broken clouds
247,Ancud,CL,-41.8697,-73.8203,50.14,87,76,5.46,broken clouds
248,Isla Mujeres,MX,21.2311,-86.731,78.17,56,0,4.18,clear sky
249,Aranda De Duero,ES,41.6704,-3.6892,70.12,55,99,4.59,light rain
250,Yar-Sale,RU,66.8333,70.8333,37.74,100,100,11.77,overcast clouds
251,Riyadh,SA,24.6877,46.7219,93.34,6,0,24.92,clear sky
252,Reconquista,AR,-29.15,-59.65,62.08,74,99,7.7,overcast clouds
253,Namibe,AO,-15.1961,12.1522,75.83,73,0,11.5,clear sky
254,Mumford,GH,5.2618,-0.759,84.29,73,100,11.41,overcast clouds
255,Bud,US,39.447,-86.1758,77.9,72,21,4.94,few clouds
256,Surok,RU,56.4469,48.1214,56.75,65,84,9.82,light rain
257,Butajira,ET,8.1167,38.3667,81.19,18,64,18.32,broken clouds
258,Leshukonskoye,RU,64.8989,45.7622,59.32,69,85,8.21,light rain
259,Bardiyah,LY,31.7561,25.0865,72.03,51,0,13.42,clear sky
260,Skjervoy,NO,70.0311,20.9714,46.4,90,100,5.46,overcast clouds
261,Halifax,CA,44.6453,-63.5724,73.4,63,19,8.05,few clouds
262,Areosa,PT,41.7178,-8.8571,72.07,54,21,6.26,few clouds
263,Galle,LK,6.0367,80.217,78.42,93,100,18.43,overcast clouds
264,Mehamn,NO,71.0357,27.8492,42.71,75,54,4.59,broken clouds
265,Bougouni,ML,11.417,-7.479,106.52,13,35,8.08,scattered clouds
266,Lebu,CL,-37.6167,-73.65,50.72,69,96,16.11,overcast clouds
267,Aparecida Do Taboado,BR,-20.0867,-51.0936,83.46,40,5,7.36,clear sky
268,Berlevag,NO,70.8578,29.0864,42.75,56,41,9.22,scattered clouds
269,Alta Floresta,BR,-9.8756,-56.0861,87.62,62,0,6.91,clear sky
270,El Cope,PA,8.6167,-80.6,74.32,82,100,2.33,overcast clouds
271,Lunel,FR,43.6778,4.1361,81.55,57,0,13.8,clear sky
272,Zaraza,VE,9.3503,-65.3245,90.09,43,57,10.36,broken clouds
273,Tazovskiy,RU,67.4667,78.7,38.03,100,100,8.19,overcast clouds
274,Ornskoldsvik,SE,63.2909,18.7153,56.35,44,40,18.41,scattered clouds
275,Suzun,RU,53.7841,82.3116,68.67,43,14,6.11,light rain
276,Marrakesh,MA,31.6315,-8.0083,86.07,25,40,8.05,scattered clouds
277,Mahanje,TZ,-9.9333,35.3333,73.31,64,57,1.77,broken clouds
278,Mounana,GA,-1.4085,13.1586,91.31,53,68,1.54,broken clouds
279,Rocha,UY,-34.4833,-54.3333,62.94,67,7,5.17,clear sky
280,Ciro Marina,IT,39.3732,17.126,82.27,58,25,9.42,scattered clouds
281,Maarianhamina,AX,60.0973,19.9348,53.46,66,20,12.66,few clouds
282,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,68,20,8.05,few clouds
283,Luanda,AO,-8.8368,13.2343,82.4,69,40,10.36,scattered clouds
284,Tucupita,VE,9.0622,-62.051,87.58,52,40,7.02,scattered clouds
285,Gazanjyk,TM,39.2446,55.5154,78.04,28,1,2.86,clear sky
286,Rio Grande,BR,-32.035,-52.0986,58.95,76,100,11.48,overcast clouds
287,Najran,SA,17.4924,44.1277,93.85,9,0,16.93,clear sky
288,Quatre Cocos,MU,-20.2078,57.7625,77.11,70,60,12.12,broken clouds
289,Jaciara,BR,-15.9653,-54.9683,86.27,43,12,4.72,few clouds
290,Kirovsk,UA,48.6375,38.6428,55.15,82,100,5.88,light rain
291,Ankazobe,MG,-18.3167,47.1167,67.66,55,15,2.19,few clouds
292,Meteti,PA,8.4983,-77.9786,80.55,84,77,1.68,broken clouds
293,Aksu,CN,41.1231,80.2644,71.11,35,100,5.28,overcast clouds
294,Puerto Cabezas,NI,14.0351,-83.3888,80.56,89,40,4.61,scattered clouds
295,Nouakchott,MR,18.0858,-15.9785,111.13,19,84,5.97,broken clouds
296,Garowe,SO,8.4054,48.4845,97.66,18,20,6.76,few clouds
297,Bhalwal,PK,32.272,72.9043,103.08,4,1,5.61,clear sky
298,Hambantota,LK,6.1241,81.1185,77.34,100,100,11.5,overcast clouds
299,Goundi,TD,9.3627,17.366,102.24,25,68,3.29,broken clouds
300,Thinadhoo,MV,0.5333,72.9333,84.29,65,100,12.33,overcast clouds
301,Straumen,NO,63.8709,11.2999,44.6,88,100,16.55,light rain
302,Morondava,MG,-20.2833,44.2833,80.02,58,0,10.11,clear sky
303,Jijiga,ET,9.35,42.8,84.54,14,52,17.31,broken clouds
