City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Carballo,ES,82.09,broken clouds,43.213,-8.691,Pazo do Souto
394,Bonthe,SL,86.27,light rain,7.5264,-12.505,Bonthe Holiday Village
395,Virtsu,EE,53.06,overcast clouds,58.5716,23.5115,Pivarootsi Holiday Village
396,Beyneu,KZ,75.49,clear sky,45.3167,55.2,NUR
397,Siparia,TT,87.82,clear sky,10.1333,-61.5,Brook Gardens
398,Vianopolis,BR,79.47,clear sky,-16.7419,-48.5164,FM Materiais para Construção _ Vianopolis
400,Visby,SE,61.95,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
401,Amboasary,MG,75.15,clear sky,-25.0333,46.3833,Le Bon Samaritain
402,Presidente Olegario,BR,78.55,scattered clouds,-18.4178,-46.4181,Cruzeiro Hotel
403,Iskateley,RU,58.3,few clouds,67.6803,53.1512,Hostel Agat
404,Marawi,PH,70.7,moderate rain,7.9986,124.2928,Derogongan Residence
405,Salekhard,RU,43.47,broken clouds,66.53,66.6019,Hotel 89
406,Emba,KZ,67.51,few clouds,48.8264,58.1442,
407,Comodoro Rivadavia,AR,48.06,clear sky,-45.8667,-67.5,Austral Hotel
408,Uribia,CO,86.49,overcast clouds,11.7139,-72.266,Hotel Uribia
409,Petauke,ZM,77.04,clear sky,-14.2426,31.3253,Kwamwanja Wanthu
410,Omboue,GA,83.55,light rain,-1.5746,9.2618,Hotel Olako
411,Labytnangi,RU,44.15,broken clouds,66.6572,66.4183,Priuralye Hotel
412,San Juan,AR,58.71,overcast clouds,-31.5375,-68.5364,Hotel Provincial
413,Gravdal,NO,43.41,scattered clouds,68.1214,13.5031,Skreda Rorbusuiter
414,Saint-Augustin,CA,40.42,overcast clouds,51.226,-58.6502,
415,Tukrah,LY,70.47,clear sky,32.5341,20.5791,Lagrota restaurant
417,Suksun,RU,55.51,overcast clouds,57.1431,57.3949,Island Relax
418,Tortoli,IT,73.22,clear sky,39.9256,9.6572,Hotel La Bitta
419,Bloomsburg,US,71.6,overcast clouds,41.0037,-76.4549,Hampton Inn Bloomsburg
420,Ciechocinek,PL,63.66,overcast clouds,52.8791,18.7951,Łazienki II
421,Talcahuano,CL,50.04,overcast clouds,-36.7167,-73.1167,departamento comodo
422,Lubaczow,PL,64.51,overcast clouds,50.157,23.1234,Gospodarstwo Lokalowe
423,Chipinge,ZW,69.35,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
425,Antalaha,MG,77.7,clear sky,-14.9003,50.2788,Hotel Vitasoa
427,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Beach Rotana
428,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
429,Greece,US,76.62,few clouds,43.2098,-77.6931,"Homewood Suites by Hilton Rochester/Greece, NY"
430,Novoagansk,RU,66.13,overcast clouds,61.9449,76.6625,
431,Santa Cruz Cabralia,BR,77.23,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
432,Imbituba,BR,70.09,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
433,Ramjibanpur,IN,87.96,overcast clouds,22.8333,87.6167,"দাসপাড়া, ৩ নং ওয়ার্ড"
434,Bull Savanna,JM,79.39,overcast clouds,17.8868,-77.5902,Big Red's
435,Nizhniy Lomov,RU,57.51,broken clouds,53.5304,43.6766,Hotel & Restaurant Complex Edelveis
436,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
437,Onega,RU,49.6,light rain,63.9061,38.1404,Lunny Kot Guest House
438,Worcester,US,77.76,scattered clouds,42.3334,-71.8328,Classic Suites & Inns
440,Porbandar,IN,85.19,clear sky,21.6422,69.6093,Lords Inn Porbandar
441,Mocuba,MZ,75.76,light rain,-16.8392,36.9856,Phama Lodge
442,Pemba,MZ,83.1,few clouds,-12.974,40.5178,Guesthouse Samotina
443,Azuaga,ES,83.66,clear sky,38.2667,-5.6833,Casa Rural La Hoya
444,Obninsk,RU,54.84,light rain,55.0969,36.6103,Hotel Na Mirnom
445,Foumban,CM,76.08,scattered clouds,5.7291,10.9001,Hotel Pekassa De Karche
448,Praia Da Vitoria,PT,66.45,light intensity shower rain,38.7333,-27.0667,Hotel Branco I
451,Paramonga,PE,66.07,scattered clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
452,Eyl,SO,88.83,overcast clouds,7.9803,49.8164,Amiin Hotel
454,Skvyra,UA,60.94,light rain,49.7318,29.6657,
455,Kilindoni,TZ,80.24,clear sky,-7.9139,39.6668,Bustani B&B
456,Urengoy,RU,45.01,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
457,Mezen,RU,58.98,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
458,Ancona,IT,80.67,overcast clouds,43.55,13.1667,Casa Vandina - B&B
459,Bejar,ES,81.57,overcast clouds,40.3864,-5.7634,Posada Puerta Grande
460,Vallenar,CL,68.11,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
461,Lubango,AO,80.46,few clouds,-14.9172,13.4925,Hotel Serra da Chela
462,Beloha,MG,77.34,clear sky,-25.1667,45.05,
463,Ushtobe,KZ,67.44,overcast clouds,45.2514,77.9838,Filipin Squad
464,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
465,Buenos Aires,AR,60.98,scattered clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
466,Sept-Iles,CA,57.63,few clouds,50.2001,-66.3821,Comfort Inn
467,Pryazha,RU,52.83,overcast clouds,61.6926,33.6216,Guest house VIRTA
468,Mweka,CD,89.73,overcast clouds,-4.85,21.5667,Guest House Boshab
469,Kalmunai,LK,81.95,overcast clouds,7.4167,81.8167,VS Villa
470,Tsiroanomandidy,MG,72.75,clear sky,-18.7667,46.0333,Hotel Ravinala
472,Lakeside,US,80.96,few clouds,30.13,-81.7682,Whitey's Fish Camp
474,Havre-Saint-Pierre,CA,53.96,clear sky,50.2334,-63.5986,Auberge Niapiskau
475,Chardara,KZ,69.78,light rain,41.2547,67.9692,Жанаргул
476,San Benito Abad,CO,80.17,overcast clouds,8.929,-75.0271,"Tu casa en la villa "" Dónde la seño Cristina"""
477,Miandrivazo,MG,84.31,few clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
